Fecha;Año;Periodo;Comision;AFP
01-09-2015;2015;09;0.47;PLANVITAL
01-10-2015;2015;10;0.47;PLANVITAL
01-11-2015;2015;11;0.47;PLANVITAL
01-12-2015;2015;12;0.47;PLANVITAL
01-01-2016;2016;01;0.47;PLANVITAL
01-02-2016;2016;02;0.47;PLANVITAL
01-03-2016;2016;03;0.47;PLANVITAL
01-04-2016;2016;04;0.47;PLANVITAL
01-05-2016;2016;05;0.47;PLANVITAL
01-06-2016;2016;06;0.47;PLANVITAL
01-07-2016;2016;07;0.47;PLANVITAL
01-08-2016;2016;08;0.41;PLANVITAL
01-09-2016;2016;09;0.41;PLANVITAL
01-10-2016;2016;10;0.41;PLANVITAL
01-11-2016;2016;11;0.41;PLANVITAL
01-12-2016;2016;12;0.41;PLANVITAL
01-01-2017;2017;01;0.41;PLANVITAL
01-02-2017;2017;02;0.41;PLANVITAL
01-03-2017;2017;03;0.41;PLANVITAL
01-04-2017;2017;04;0.41;PLANVITAL
01-05-2017;2017;05;0.41;PLANVITAL
01-06-2017;2017;06;0.41;PLANVITAL
01-07-2017;2017;07;0.41;PLANVITAL
01-08-2017;2017;08;0.41;PLANVITAL
01-09-2017;2017;09;0.41;PLANVITAL
01-10-2017;2017;10;0.41;PLANVITAL
01-11-2017;2017;11;0.41;PLANVITAL
01-12-2017;2017;12;0.41;PLANVITAL
01-01-2018;2018;01;0.41;PLANVITAL
01-02-2018;2018;02;0.41;PLANVITAL
01-03-2018;2018;03;0.41;PLANVITAL
01-04-2018;2018;04;0.41;PLANVITAL
01-05-2018;2018;05;0.41;PLANVITAL
01-06-2018;2018;06;0.41;PLANVITAL
01-07-2018;2018;07;0.41;PLANVITAL
01-08-2018;2018;08;1.16;PLANVITAL
01-09-2018;2018;09;1.16;PLANVITAL
01-10-2018;2018;10;1.16;PLANVITAL
01-11-2018;2018;11;1.16;PLANVITAL
01-12-2018;2018;12;1.16;PLANVITAL
01-01-2019;2019;01;1.16;PLANVITAL
01-02-2019;2019;02;1.16;PLANVITAL
01-03-2019;2019;03;1.16;PLANVITAL
01-04-2019;2019;04;1.16;PLANVITAL
01-05-2019;2019;05;1.16;PLANVITAL
01-06-2019;2019;06;1.16;PLANVITAL
01-07-2019;2019;07;1.16;PLANVITAL
01-08-2019;2019;08;1.16;PLANVITAL
01-09-2019;2019;09;1.16;PLANVITAL
01-10-2019;2019;10;1.16;PLANVITAL
01-11-2019;2019;11;1.16;PLANVITAL
01-12-2019;2019;12;1.16;PLANVITAL
01-01-2020;2020;01;1.16;PLANVITAL
01-02-2020;2020;02;1.16;PLANVITAL
01-03-2020;2020;03;1.16;PLANVITAL
01-04-2020;2020;04;1.16;PLANVITAL
01-05-2020;2020;05;1.16;PLANVITAL
01-06-2020;2020;06;1.16;PLANVITAL
01-07-2020;2020;07;1.16;PLANVITAL
01-08-2020;2020;08;1.16;PLANVITAL
01-09-2020;2020;09;1.16;PLANVITAL
31-10-2010;2010;10;1.54;PROVIDA
30-11-2010;2010;11;1.54;PROVIDA
31-12-2010;2010;12;1.54;PROVIDA
31-01-2011;2011;01;1.54;PROVIDA
28-02-2011;2011;02;1.54;PROVIDA
31-03-2011;2011;03;1.54;PROVIDA
30-04-2011;2011;04;1.54;PROVIDA
31-05-2011;2011;05;1.54;PROVIDA
30-06-2011;2011;06;1.54;PROVIDA
31-07-2011;2011;07;1.54;PROVIDA
31-08-2011;2011;08;1.54;PROVIDA
30-09-2011;2011;09;1.54;PROVIDA
31-10-2011;2011;10;1.54;PROVIDA
30-11-2011;2011;11;1.54;PROVIDA
31-12-2011;2011;12;1.54;PROVIDA
31-01-2012;2012;01;1.54;PROVIDA
29-02-2012;2012;02;1.54;PROVIDA
31-03-2012;2012;03;1.54;PROVIDA
30-04-2012;2012;04;1.54;PROVIDA
31-05-2012;2012;05;1.54;PROVIDA
30-06-2012;2012;06;1.54;PROVIDA
31-07-2012;2012;07;1.54;PROVIDA
31-08-2012;2012;08;1.54;PROVIDA
30-09-2012;2012;09;1.54;PROVIDA
